,B,V
969,18.895,18.279
970,21.26,20.317
971,24.298,21.942
972,21.268,20.497
973,22.774,21.344
974,22.028,20.702
975,19.961,19.185
976,20.846,20.101
977,21.594,20.387
978,15.492,14.597
979,20.163,19.564
980,19.483,18.904
981,19.62,18.98
982,21.961,20.932
983,19.822,19.327
984,22.41,21.333
985,22.416,21.655
986,20.385,19.768
987,20.469,19.712
988,20.493,19.841
989,23.176,21.722
990,21.898,20.972
991,22.843,21.889
992,22.632,21.56
993,22.129,21.24
994,19.315,18.666
995,22.802,21.555
996,19.591,19.039
997,22.482,21.208
998,21.647,20.81
999,20.924,20.349
1000,20.217,19.588
1001,22.47,21.498
1002,21.555,20.649
1003,18.042,17.066
1004,20.878,20.15
1005,,21.506
1006,20.918,20.386
1007,20.888,20.255
1008,20.364,19.754
1009,21.472,20.449
1010,21.994,22.297
1011,21.284,20.44
1012,20.431,19.957
1013,17.661,16.921
1014,19.609,18.982
1015,21.704,20.767
1016,18.98,18.399
1017,21.481,20.74
1018,21.123,20.414
1019,22.283,21.386
1020,21.475,20.722
1021,21.527,20.488
1022,22.052,21.342
1023,20.405,19.391
1024,18.846,18.235
1025,22.245,21.378
1026,21.323,20.317
1027,18.26,17.632
1028,20.829,20.207
1029,22.936,21.828
1030,22.809,21.816
1031,21.952,20.876
1032,22.353,21.171
1033,22.009,21.299
1034,22.488,21.662
1035,21.262,21.05
1036,19.766,19.179
1037,19.553,19.019
1038,20.242,19.557
1039,22.677,21.637
1040,21.104,20.444
1041,23.103,20.911
1042,21.109,20.334
1043,19.521,18.97
1044,20.942,20.133
1045,21.631,20.814
1046,21.909,20.772
1047,17.58,16.859
1048,21.699,20.514
1049,19.737,19.046
1050,19.245,18.638
1051,21.815,20.985
1052,22.026,20.942
1053,21.78,20.82
1054,21.021,20.271
1055,18.81,18.35
1056,22.075,21.101
1057,19.566,18.934
1058,20.213,19.538
1059,22.661,20.997
1060,20.975,19.785
1061,23.631,21.775
1062,20.856,20.085
1063,18.438,17.903
1064,18.157,17.486
1065,21.93,20.505
1066,21.986,21.039
1067,21.917,21.055
1068,20.283,19.734
